,Focal Loss CNN,Model 1 (baseline),Model 2 (baseline+patch),Model 3 (baseline+contrast)
Accuracy,2.2079373951928494,-0.5030743432084983,-7.2107322526551165,-8.887646730016762
Precision,2.3051591657519355,-9.316684961580679,-13.419319429198683,-16.026344676180027
Recall,15.359973023098995,51.47529927499579,39.62232338560108,47.52992749957849
F1,9.092298288508548,16.381418092909538,9.443765281173588,10.070293398533025
ROC-AUC,3.37541870651894,1.9582581808812227,-4.882762174697253,-8.657562483895909
PR-AUC,7.101264024996445,9.103820480045455,1.2782275244993535,0.18463286464991402
Balanced Accuracy,5.689404934687947,2.670537010159668,-4.208998548621179,-6.168359941944845
MCC,13.262999246420492,13.237879929665898,-14.44360713388596,-16.93041949258981
